# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDExtensionInterfaceDictionaryGetTypedValueTypeDescriptor	FoundryExtensionInterfaceDictionaryGetTypedValueTypeDescriptor	B	code	generated
GDExtensionsInterfaceEditorHelpLoadXmlFromUtf8CharsAndLen	FoundryExtensionsInterfaceEditorHelpLoadXmlFromUtf8CharsAndLen	B	code	generated
GDExtensionInterfaceDictionaryGetTypedKeyTypeDescriptor	FoundryExtensionInterfaceDictionaryGetTypedKeyTypeDescriptor	B	code	generated
GDExtensionInterfaceArrayGetTypedElementTypeDescriptor	FoundryExtensionInterfaceArrayGetTypedElementTypeDescriptor	B	code	generated
GODOT_APPLE_PLATFORM_PROVISIONING_PROFILE_UUID_RELEASE	FOUNDRY_APPLE_PLATFORM_PROVISIONING_PROFILE_UUID_RELEASE	D	code	generated
GODOT_APPLE_PLATFORM_PROVISIONING_PROFILE_UUID_DEBUG	FOUNDRY_APPLE_PLATFORM_PROVISIONING_PROFILE_UUID_DEBUG	D	code	generated
GDExtensionInterfacePlaceHolderScriptInstanceCreate	FoundryExtensionInterfacePlaceHolderScriptInstanceCreate	B	code	generated
GDExtensionInterfacePlaceHolderScriptInstanceUpdate	FoundryExtensionInterfacePlaceHolderScriptInstanceUpdate	B	code	generated
GDExtensionsInterfaceEditorHelpLoadXmlFromUtf8Chars	FoundryExtensionsInterfaceEditorHelpLoadXmlFromUtf8Chars	B	code	generated
GODOT_EMBEDDED_CLIENT_EMBEDDED_WINDOW_REQUEST_CLOSE	FOUNDRY_EMBEDDED_CLIENT_EMBEDDED_WINDOW_REQUEST_CLOSE	D	code	generated
GDExtensionInterfaceDictionarySetTypedByDescriptor	FoundryExtensionInterfaceDictionarySetTypedByDescriptor	B	code	generated
GDExtensionInterfaceGetVariantGetInternalPtrFunc	FoundryExtensionInterfaceGetVariantGetInternalPtrFunc	B	code	generated
GODOT_EMBEDDED_CLIENT_SET_EMBEDDED_WINDOW_PARENT	FOUNDRY_EMBEDDED_CLIENT_SET_EMBEDDED_WINDOW_PARENT	D	code	generated
GDExtensionScriptInstanceGetMethodArgumentCount	FoundryExtensionScriptInstanceGetMethodArgumentCount	B	code	generated
GODOT_APPLE_PLATFORM_PROFILE_SPECIFIER_RELEASE	FOUNDRY_APPLE_PLATFORM_PROFILE_SPECIFIER_RELEASE	D	code	generated
GODOT_EMBEDDED_CLIENT_SET_EMBEDDED_WINDOW_RECT	FOUNDRY_EMBEDDED_CLIENT_SET_EMBEDDED_WINDOW_RECT	D	code	generated
GDExtensionInterfaceArraySetTypedByDescriptor	FoundryExtensionInterfaceArraySetTypedByDescriptor	B	code	generated
GDExtensionInterfaceCallableCustomGetUserData	FoundryExtensionInterfaceCallableCustomGetUserData	B	code	generated
GDExtensionScriptInstanceRefCountDecremented	FoundryExtensionScriptInstanceRefCountDecremented	B	code	generated
GDExtensionScriptInstanceRefCountIncremented	FoundryExtensionScriptInstanceRefCountIncremented	B	code	generated
GODOT_APPLE_PLATFORM_PROFILE_SPECIFIER_DEBUG	FOUNDRY_APPLE_PLATFORM_PROFILE_SPECIFIER_DEBUG	D	code	generated
GDExtensionInstanceBindingReferenceCallback	FoundryExtensionInstanceBindingReferenceCallback	B	code	generated
GDExtensionScriptInstanceFreePropertyList2	FoundryExtensionScriptInstanceFreePropertyList2	B	code	generated
GDExtensionScriptInstancePropertyCanRevert	FoundryExtensionScriptInstancePropertyCanRevert	B	code	generated
GDExtensionScriptInstancePropertyGetRevert	FoundryExtensionScriptInstancePropertyGetRevert	B	code	generated
GODOT_MACOS_NOTARIZATION_APPLE_ID_PASSWORD	FOUNDRY_MACOS_NOTARIZATION_APPLE_ID_PASSWORD	D	code	generated
GDExtensionCallableCustomGetArgumentCount	FoundryExtensionCallableCustomGetArgumentCount	B	code	generated
GDExtensionScriptInstanceFreePropertyList	FoundryExtensionScriptInstanceFreePropertyList	B	code	generated
GDExtensionScriptInstanceGetClassCategory	FoundryExtensionScriptInstanceGetClassCategory	B	code	generated
GDExtensionScriptInstanceGetPropertyState	FoundryExtensionScriptInstanceGetPropertyState	B	code	generated
GDExtensionScriptInstancePropertyStateAdd	FoundryExtensionScriptInstancePropertyStateAdd	B	code	generated
GDExtensionScriptInstanceValidateProperty	FoundryExtensionScriptInstanceValidateProperty	B	code	generated
GDExtensionTypeFromVariantConstructorFunc	FoundryExtensionTypeFromVariantConstructorFunc	B	code	generated
